category,param,median_ms,achieved_gb_s
vector_add,262144,0.018831999972462654,167.04163151018923
vector_add,1048576,0.059039998799562454,213.12520758542516
vector_add,4194304,0.2061759978532791,244.11982250144112
vector_add,16777216,0.7897759974002838,254.91606817972365
strided_copy,1,0.018319999799132347,114.47336370054563
strided_copy,2,0.018432000651955605,113.77777375336062
strided_copy,4,0.029200000688433647,71.82027227933247
strided_copy,8,0.04505600035190582,46.545454181915474
strided_copy,16,0.07971200346946716,26.309111660997107
strided_copy,32,0.08601599931716919,24.380952574498533
strided_copy,64,0.09275199845433235,22.610316057314495
strided_copy,128,0.1080160029232502,19.415197223045855
reduce,naive_atomic,33.36539077758789,2.0113315755042254
reduce,shared_tree,0.7290880084037781,92.04494275927561
reduce,warp_shuffle,0.4552000015974045,147.42720510654465
reduce,vectorized,0.2457599937915802,273.06667356491107
transpose,naive_n512,0.03891199827194214,53.89473923553731
transpose,unpadded_n512,0.03670400008559227,57.13687868105724
transpose,padded_n512,0.039904000237584114,52.55493152350099
transpose,naive_n1024,0.09216000139713287,91.02222084233793
transpose,unpadded_n1024,0.05427199974656105,154.5660384576403
transpose,padded_n1024,0.04739199951291084,177.00472835535712
transpose,naive_n2048,0.34671999514102936,96.77674339592569
transpose,unpadded_n2048,0.2332480028271675,143.85731750450708
transpose,padded_n2048,0.16779199987649918,199.97635182069018
transpose,naive_n4096,1.6957440376281738,79.14975669779118
transpose,unpadded_n4096,0.7583520114421844,176.98605129925545
transpose,padded_n4096,0.6652159988880157,201.76563435690093
