format,bits,perplexity,layers_quantized
fp16_baseline,16,18.516996383666992,0
per_tensor,8,18.275619506835938,196
per_channel,8,18.28444480895996,196
group128,8,18.551179885864258,196
block32,8,18.49708366394043,196
mx_e8m0,8,21.76310157775879,196
per_tensor,4,11054325.0,196
per_channel,4,31.33608627319336,196
group128,4,24.284143447875977,196
block32,4,22.76954460144043,196
mx_e8m0,4,22.6328125,196
