category,variant,K,median_ms,achieved_gb_s
gemv,fp16_v3,1024,0.04097599908709526,204.7200357987576
gemv,w8a16,1024,0.03155200183391571,132.93305515377733
gemv,w4a16_naive,1024,0.04124800115823746,50.842512148765955
gemv,w4a16_lop3,1024,0.02457600086927414,85.33333031502046
gemv,fp16_v3,2048,0.0716480016708374,234.16167386045552
gemv,w8a16,2048,0.048976000398397446,171.27997247146556
gemv,w4a16_naive,2048,0.07123199850320816,58.882301327135956
gemv,w4a16_lop3,2048,0.04004799947142601,104.73192307627274
gemv,fp16_v3,4096,0.13100799918174744,256.1250626646845
gemv,w8a16,4096,0.08310399949550629,201.88217296217135
gemv,w4a16_naive,4096,0.12860800325870514,65.22617401286959
gemv,w4a16_lop3,4096,0.07004799693822861,119.75514456748051
gemv,fp16_v3,8192,0.2553119957447052,262.8504148590979
gemv,w8a16,8192,0.23155200481414795,144.91099753997815
gemv,w4a16_naive,8192,0.412880003452301,40.6346053568037
gemv,w4a16_lop3,8192,0.18056000024080276,92.91767821015267
