k_over_I,k,mode,bytes_per_token,tokens_per_sec,perplexity,ppl_ratio_vs_dense
1.0,6144,dense,704643072,12.099174782037338,16.503644943237305,1.0
1.0,6144,dip,704643072,5.5790573721881564,16.879274368286133,1.022760391800767
0.75,4608,dip,616562688,6.459046832054161,57.75258255004883,3.499383484598903
0.5,3072,dip,528482304,7.695213017516317,231.26173400878906,14.012767167749397
0.375,2304,dip,484442112,8.291644975004456,695.749755859375,42.15733907584289
0.25,1536,dip,440401920,9.095843613633422,4969.77734375,301.13210511029956
0.125,768,dip,396361728,9.536177984498137,365166.03125,22126.38677734242
