category,variant,K,median_ms,achieved_gb_s
gemv,v1_naive,1024,0.18963199853897095,44.236247387732256
gemv,v2_warp_shuffle,1024,0.042479999363422394,197.4719426955324
gemv,v3_vectorized,1024,0.040063999593257904,209.38019381898312
gemv,v1_naive,2048,0.36849600076675415,45.52889574131206
gemv,v2_warp_shuffle,2048,0.07513599842786789,223.29131642679206
gemv,v3_vectorized,2048,0.07014399766921997,239.18248969950065
gemv,v1_naive,4096,0.7246880233287811,46.30189946547083
gemv,v2_warp_shuffle,4096,0.1488799974322319,225.3790474121516
gemv,v3_vectorized,4096,0.12902399897575378,260.0634941279843
gemv,v1_naive,8192,1.4496639966964722,46.29270241444171
gemv,v2_warp_shuffle,8192,0.27246400713920593,246.3035932878763
gemv,v3_vectorized,8192,0.24985599517822266,268.59016911773983
gemv,v1_naive,16384,2.872383952140808,46.72694536535291
gemv,v2_warp_shuffle,16384,0.5406720042228699,248.24242230354923
gemv,v3_vectorized,16384,0.4973279982805252,269.87768326747715
