mode,k_over_I,cache_frac,bytes_per_token,tokens_per_sec,perplexity,ppl_ratio_vs_dense,bytes_saved_vs_dense_pct
dense,1.0,0.0,704643072,12.084971811501674,16.503644943237305,1.0,0.0
dip,0.5,0.0,528482304,7.638241355652074,231.26173400878906,14.012767167749397,25.0
cache_aware_dip,0.5,0.1,496382656.0,7.0263283664399365,231.26173400878906,14.012767167749397,29.555447896321617
