category,variant,K,median_ms,achieved_gb_s
splitk,v2_no_split,1048576,1.1736800074577332,57.17816063456866
splitk,v4_split4,1048576,0.36131200194358826,185.7366033760421
splitk,v4_split8,1048576,0.2887679934501648,232.3971683917995
splitk,v4_split16,1048576,0.29286399483680725,229.1468571867126
splitk,v4_split32,1048576,0.319487988948822,210.05128931701407
rmsnorm,rmsnorm,4096,0.018432000651955605,28.444443438340155
softmax,softmax_twopass,4096,0.018559999763965607,28.248276221312757
softmax,softmax_online,4096,0.01860800012946129,28.175408230458697
