size_mb,pinned,median_ms,p90_ms,stddev_ms,achieved_gb_s
1,False,0.3238079994916916,0.35731199383735657,0.03439469808148159,3.238264655740554
1,True,0.09324800223112106,0.09558399766683578,0.004527139223350985,11.245023752906128
4,False,0.7297280132770538,0.78438401222229,0.02698032868922716,5.74776344567652
4,True,0.3481920063495636,0.36108800768852234,0.006052063519612198,12.045951439187188
16,False,2.592192053794861,2.7104320526123047,0.09291793895755575,6.472211800602836
16,True,1.370736002922058,1.3940479755401611,0.012464854601945689,12.23956762223745
64,False,9.988944053649902,10.650015830993652,0.47019779326320554,6.718314132060717
64,True,5.451872110366821,5.465023994445801,0.009144999713434557,12.309324694611128
256,False,39.787071228027344,44.135040283203125,2.1649388428397813,6.746801101833933
256,True,21.75483226776123,21.781951904296875,0.015135359641795722,12.339118624131983
512,False,78.10840225219727,83.40790557861328,3.3279054598600157,6.873407937171027
512,True,43.48798370361328,43.51987075805664,0.0153221013733874,12.345270262677024
1024,False,158.45396423339844,175.1321563720703,9.60719542163718,6.7763645371371535
1024,True,86.98148727416992,87.00367736816406,0.014662846372705568,12.344486828737626
